ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.08,202.48,238.28,5.53,409.29,414.62,13.8,59.52,5.27,1
5.45,199.23,144.47,7.69,298.32,469.13,14.02,95.31,5.19,1
7.08,215.97,218.52,7.46,283.76,364.7,11.38,76.54,5.08,1
5.43,177.83,314.22,4.58,347.1,490.28,16.07,58.42,2.87,1
7.37,217.7,122.86,10.04,333.78,358.98,16.29,93.78,3.59,1
7.08,175.71,259.54,6.23,346.23,379.29,13.64,50.59,2.95,0
5.23,177.32,283.99,6.29,336.29,328.39,18.46,62.08,2.26,0
4.59,185.63,279.81,6.76,354.79,380.72,13.98,74.58,4.92,0
6.78,212.44,128.28,7.4,333.78,328.03,10.86,89.58,5.04,0
6.4,172.3,159.36,4.94,340.39,435.41,11.08,58.37,4.56,0
6.84,166.87,285.09,7.24,333.78,460.77,11.38,73.47,2.85,0
6.9,164.72,204.43,5.16,341.54,468.42,10.36,65.69,4.05,0
7.08,191.55,224.62,8.19,333.78,349.95,17.25,76.77,5.26,0
7.89,228.49,158.25,8.39,314.84,423.66,17.63,56.42,3.63,0
5.53,218.52,220.96,6.44,333.78,412.87,12.64,44.33,4.59,0
6.49,234.91,186.07,8.62,302.13,442.1,14.12,65.64,4.38,0
6.68,193.84,341.57,9.88,344.54,498.06,8.82,66.66,4.03,0
7.08,196.33,241.08,7.84,352.62,428.77,10.29,73.45,5.03,0
6.22,238.08,224.23,9.34,333.78,474.67,14.03,80.77,3.92,0
4.76,203.54,236.03,7.67,324.08,288.91,18.06,85.92,4.41,0
7.44,183.36,172.6,4.61,335.63,453.0,9.7,80.54,2.5,0
8.05,200.94,126.42,7.31,334.44,446.75,14.95,71.2,3.51,0
7.06,215.95,249.92,9.14,321.47,431.42,12.95,64.03,4.3,0
7.08,214.74,126.66,7.09,302.49,319.42,15.43,92.69,5.01,0
7.61,222.25,250.64,8.56,287.95,505.27,18.27,68.4,2.87,0
4.69,200.89,321.82,8.57,364.75,516.85,12.4,85.03,2.73,0
8.06,209.84,87.12,8.59,355.44,338.85,18.72,106.24,3.25,0
4.29,212.81,304.34,8.63,333.48,382.92,15.78,39.78,2.8,0
7.87,184.91,161.47,7.32,333.78,505.91,11.09,88.05,3.74,0
9.09,238.22,90.02,9.82,325.1,381.35,19.2,98.49,2.54,0
6.59,242.48,93.81,7.3,312.81,440.6,14.03,70.93,3.06,0
7.03,168.82,293.7,5.39,333.78,521.78,21.12,58.88,3.63,0
8.99,195.81,237.28,7.51,348.71,551.54,15.25,75.91,4.49,0
8.56,205.37,166.86,8.16,333.78,347.84,18.89,68.09,2.81,0
6.74,156.48,309.51,6.54,363.18,425.29,11.65,70.37,5.21,0
7.08,209.43,208.28,6.59,313.87,567.6,17.95,40.14,4.24,0
6.49,213.07,343.14,9.04,335.29,313.25,11.14,70.83,3.38,0
6.75,191.98,182.23,3.92,296.2,389.74,9.69,92.22,5.1,0
5.04,142.86,408.29,7.27,333.78,386.8,16.82,52.3,4.96,0
8.3,198.2,174.69,8.26,369.59,294.33,18.03,44.06,5.4,0
5.46,152.39,376.2,5.78,333.78,343.42,14.4,41.11,4.48,0
7.92,224.15,200.12,9.01,302.39,421.89,22.19,72.73,4.76,0
5.02,194.67,273.17,6.16,333.78,313.48,10.41,85.69,5.04,0
6.5,252.01,327.76,8.48,333.78,330.05,9.85,80.56,3.39,0
7.08,203.05,281.85,7.08,344.52,445.7,19.78,53.27,4.46,0
8.78,218.03,161.84,7.39,334.05,389.02,16.35,47.1,4.27,0
7.08,184.75,284.99,6.55,330.72,381.5,11.04,62.01,3.4,0
8.16,215.65,170.68,8.77,319.25,459.54,14.19,60.37,2.96,0
7.69,230.34,73.25,7.99,331.51,492.85,14.23,74.07,4.18,0
7.76,173.64,155.48,5.02,330.39,520.64,11.15,87.48,3.26,0
7.21,204.01,184.94,5.56,311.57,437.51,12.99,31.39,4.71,0
6.99,169.73,194.73,5.02,366.02,425.67,17.31,48.88,4.48,0
4.69,221.55,242.12,9.36,307.71,406.55,12.62,60.0,4.01,0
7.08,219.73,98.41,8.51,309.84,396.81,12.43,71.63,3.18,0
4.06,200.38,257.7,8.34,333.78,414.16,11.08,66.4,4.33,0
8.39,213.67,176.75,8.35,333.78,471.37,19.3,70.83,3.57,0
10.7,220.45,105.72,6.52,295.98,414.26,14.77,58.74,4.15,0
6.79,175.89,214.68,7.1,349.49,427.24,12.56,55.25,2.82,0
9.95,232.95,37.73,9.98,333.78,339.88,18.34,82.45,4.05,0
7.08,218.99,98.36,7.06,328.72,386.35,15.55,57.33,3.84,0
4.49,188.25,149.06,8.49,374.23,518.59,11.23,65.18,3.78,0
8.02,175.87,217.59,7.49,352.98,428.66,4.97,72.31,3.44,0
5.09,174.27,340.94,6.74,376.66,526.36,17.11,48.55,4.84,0
6.47,214.34,148.48,7.05,304.57,304.96,12.18,66.4,3.41,0
6.7,208.55,290.57,7.03,302.74,361.95,10.61,53.88,4.27,0
5.77,179.57,277.0,6.2,333.78,536.27,12.83,90.01,4.47,0
6.57,207.74,233.73,6.28,313.85,497.9,12.87,75.42,4.56,0
8.51,200.3,105.87,6.39,307.4,585.22,11.8,63.83,2.52,0
5.95,186.46,322.41,8.44,347.71,416.09,14.64,68.91,4.07,0
5.4,185.64,275.1,8.26,333.78,587.38,10.02,63.4,3.87,0
5.6,162.72,239.3,7.46,333.78,535.34,19.17,54.97,3.51,0
10.63,198.38,129.59,7.14,322.62,522.03,16.72,71.78,3.72,0
4.92,162.46,228.29,4.02,360.59,541.77,11.58,66.4,3.84,0
7.18,200.37,135.02,7.98,358.33,617.54,11.18,71.54,3.81,0
5.92,167.66,259.52,6.3,350.38,471.86,15.77,53.32,4.11,0
7.38,175.01,153.41,6.14,371.01,579.46,11.92,78.18,4.53,0
7.83,220.96,283.39,9.37,316.27,462.14,15.33,57.03,5.58,0
4.75,186.3,331.54,8.84,370.17,296.96,14.78,48.45,3.7,0
9.06,196.48,202.26,5.84,298.8,342.36,12.81,84.28,5.46,0
5.49,176.27,264.22,8.07,366.64,500.94,7.61,59.4,3.29,0
4.49,199.05,368.6,9.75,338.05,390.57,8.12,75.67,2.77,0
7.03,185.32,309.89,8.6,327.46,326.27,9.98,52.72,5.35,0
10.2,182.08,80.16,5.57,337.78,291.6,13.47,50.57,5.17,0
6.78,140.37,175.7,4.08,333.78,374.18,10.63,97.09,4.05,0
8.08,166.89,181.36,6.87,333.78,600.94,16.31,55.59,4.07,0
7.08,191.35,140.17,6.49,345.56,423.98,11.86,65.79,4.17,0
7.34,182.31,56.9,6.76,373.87,360.18,20.48,73.49,3.42,0
5.92,200.56,333.06,7.43,333.78,399.95,13.8,63.46,3.88,0
8.29,196.55,190.97,7.36,342.94,388.94,14.15,73.19,5.44,0
5.95,160.44,168.99,6.05,367.33,451.01,16.36,62.37,4.07,0
7.08,192.2,341.61,8.96,363.47,474.78,15.91,50.81,3.0,0
7.08,216.0,359.71,10.03,330.86,558.11,14.34,81.77,2.93,0
5.3,220.08,395.37,9.23,322.43,393.39,10.58,58.8,3.92,0
10.28,198.55,81.08,5.55,332.02,568.08,15.66,28.77,4.57,0
7.02,167.36,180.15,5.9,362.52,471.48,10.69,45.0,4.1,0
6.87,197.52,195.58,8.31,355.09,379.51,18.24,65.69,4.18,0
7.08,214.17,89.86,7.3,333.78,498.8,9.58,37.62,5.5,0
8.27,195.8,180.91,7.42,365.41,369.2,17.0,66.4,2.58,0
8.24,198.21,114.51,5.31,309.33,401.06,13.24,81.2,2.78,0
5.79,190.43,202.88,6.3,347.04,544.86,17.71,84.39,4.1,0
6.15,237.14,220.52,8.09,306.24,485.1,17.08,58.11,4.03,0
7.3,196.95,220.53,5.39,305.22,451.61,14.67,71.71,4.14,0
7.59,177.08,149.12,6.04,349.24,355.28,17.16,42.12,3.34,0
6.78,189.61,127.37,5.94,333.78,480.31,20.61,76.62,4.07,0
5.61,211.51,324.23,6.81,333.78,446.39,20.93,52.22,4.07,0
7.08,223.44,362.91,9.38,333.45,373.92,16.52,64.7,3.82,0
4.92,197.29,384.95,9.14,383.24,357.47,13.13,61.86,2.29,0
5.7,185.92,273.65,7.56,333.78,359.51,15.09,56.46,3.98,0
7.08,215.58,253.39,5.79,266.11,429.35,11.85,71.17,3.13,0
10.68,168.7,70.66,4.87,333.78,327.66,16.3,46.67,4.31,0
7.6,199.35,113.46,6.9,304.97,210.32,17.93,62.85,3.7,0
8.85,188.42,177.35,6.06,317.15,419.4,17.12,60.25,2.93,0
6.75,203.4,263.26,8.37,341.9,381.44,19.53,58.29,3.76,0
7.08,148.1,135.98,5.73,374.02,357.71,13.28,72.7,3.62,0
7.08,202.08,125.19,7.63,333.78,399.88,12.75,66.4,4.44,0
5.09,159.96,391.25,6.06,375.62,400.16,20.19,68.69,2.6,0
6.95,159.77,218.95,4.49,337.27,482.6,10.66,78.76,3.17,0
8.98,204.65,151.59,8.65,333.78,416.9,14.62,68.9,2.45,0
9.52,204.08,172.58,6.15,310.72,395.7,17.06,44.27,3.99,0
4.7,195.35,352.17,7.92,335.28,539.46,9.85,64.72,3.48,0
10.39,200.89,179.82,5.85,339.0,336.28,14.32,62.16,4.92,0
5.75,183.47,356.33,6.07,327.56,354.17,12.55,70.53,3.81,0
7.08,192.97,111.25,4.95,324.76,332.96,15.16,79.26,4.7,0
7.08,248.95,252.53,8.92,296.82,482.85,14.14,69.1,3.94,0
10.81,209.1,118.48,10.14,349.92,393.19,15.47,66.03,4.42,0
8.97,228.69,167.65,7.14,320.56,456.43,12.6,77.33,3.65,0
7.08,212.45,57.0,6.65,333.05,269.34,18.08,89.82,2.28,0
6.85,204.81,205.56,9.78,387.69,389.64,12.3,49.45,3.13,0
8.86,200.61,152.47,6.05,313.13,521.77,13.78,69.87,3.58,0
4.25,149.94,204.98,3.27,302.82,427.11,16.09,68.2,3.59,0
6.73,229.41,231.14,9.73,321.16,521.84,13.14,68.25,4.72,0
5.92,186.62,443.76,6.61,341.64,273.45,12.76,59.46,4.22,0
6.78,193.65,136.77,5.17,323.73,477.85,15.06,66.4,3.25,0
7.39,219.34,255.74,8.76,333.78,553.06,17.73,60.6,4.33,0
6.47,176.74,305.94,4.39,324.66,524.91,16.61,84.3,3.13,0
6.93,190.19,257.8,6.26,331.03,481.74,14.05,70.59,3.7,0
9.3,236.58,52.31,8.3,333.78,367.9,12.86,18.1,3.68,0
7.42,220.39,157.73,9.16,319.91,463.3,16.98,80.27,3.6,0
6.58,163.36,179.78,6.54,333.78,383.12,18.09,44.14,3.77,0
6.2,211.64,354.4,6.24,314.13,552.46,8.66,56.35,4.11,0
9.07,203.38,227.1,5.96,321.59,496.16,18.37,76.42,4.06,0
4.71,209.34,200.71,6.59,301.97,354.17,14.02,89.65,3.92,0
10.58,213.78,112.98,7.67,300.18,497.17,17.97,83.35,2.97,0
7.57,227.98,86.73,7.34,333.78,433.68,11.24,54.87,3.69,0
6.14,158.42,201.3,6.81,352.23,373.84,13.42,80.73,4.68,0
5.28,186.38,420.64,6.86,319.84,312.0,18.96,71.4,3.88,0
6.78,189.44,196.64,8.39,375.46,420.36,14.83,61.05,3.32,0
7.24,211.87,139.12,8.2,345.04,494.42,15.42,32.75,4.53,0
6.55,190.55,153.62,6.93,356.32,353.06,14.9,66.4,3.44,0
8.41,210.8,276.62,6.63,291.69,555.58,12.34,67.06,2.37,0
7.99,202.09,204.47,5.69,333.78,477.67,12.26,43.84,4.81,0
7.37,185.04,141.52,5.58,324.57,336.96,15.23,50.0,3.05,0
6.06,224.84,258.43,9.46,333.78,385.39,13.07,85.35,4.37,0
7.86,204.78,56.19,5.82,343.55,432.04,14.95,55.96,4.53,0
5.16,189.3,350.86,6.74,340.87,331.59,12.91,61.34,4.65,0
7.08,197.57,174.39,6.23,333.78,406.01,16.69,68.97,3.46,0
6.4,230.03,230.37,10.52,316.07,452.97,13.63,66.4,2.62,0
7.39,207.96,299.18,7.82,333.78,392.5,13.17,79.78,4.26,0
4.44,240.17,240.7,9.77,338.05,533.97,11.88,69.04,5.04,0
8.25,175.91,99.14,4.97,324.43,302.2,11.07,71.44,3.94,0
4.9,214.64,282.79,9.92,337.14,375.04,15.5,61.59,3.5,0
6.86,194.59,236.11,8.19,346.77,439.23,14.66,89.03,4.32,0
6.67,190.75,162.46,6.37,324.34,383.25,7.85,86.44,1.96,0
7.6,207.12,134.86,6.19,328.21,452.45,14.81,88.02,3.4,0
8.16,183.16,203.36,6.03,333.08,475.3,18.25,49.6,3.29,0
8.87,193.37,168.54,5.18,318.35,355.47,19.03,58.81,4.18,0
8.77,215.37,139.69,7.55,322.8,369.02,18.92,54.76,3.78,0
4.74,215.53,306.84,8.78,333.78,313.51,11.07,62.91,3.85,0
7.79,196.48,240.61,6.79,350.12,471.52,15.34,44.54,3.08,0
7.08,238.41,264.93,8.67,311.55,369.28,11.76,91.24,3.24,0
6.09,214.56,116.28,7.23,333.78,344.07,13.23,98.69,3.67,0
7.65,200.72,116.99,6.65,349.26,420.83,18.86,52.91,3.26,0
4.77,200.37,480.02,9.17,340.31,310.93,18.77,63.66,3.94,0
7.08,190.63,269.13,4.65,302.42,509.28,16.2,64.1,3.45,0
5.39,198.02,199.0,7.84,348.95,419.81,14.62,80.57,2.98,0
5.48,165.44,290.46,5.52,370.89,488.77,17.27,80.23,6.36,0
6.36,193.51,229.58,6.67,333.78,432.19,16.27,64.58,4.76,0
7.08,226.77,399.43,8.59,333.78,538.62,13.74,66.4,4.86,0
8.35,231.2,135.33,7.62,313.67,527.38,18.66,58.05,4.22,0
6.62,194.98,209.19,6.14,333.78,383.12,9.68,41.34,4.64,0
8.31,203.74,87.27,7.46,333.78,543.39,15.47,81.51,2.99,0
6.84,166.74,242.93,6.86,332.88,390.8,16.01,87.1,3.67,0
6.39,231.49,267.57,8.77,333.78,422.07,16.56,73.26,4.68,0
6.49,205.54,193.97,7.89,368.56,479.79,15.81,56.98,2.43,0
7.08,236.36,248.74,9.41,300.69,479.06,13.52,46.6,5.28,0
6.65,181.69,307.34,5.96,343.93,257.7,17.76,35.3,4.83,0
7.08,210.98,211.74,7.62,333.78,572.74,15.11,90.25,4.22,0
9.32,212.71,157.51,5.5,296.85,399.77,10.62,74.55,3.01,0
4.58,186.1,338.97,6.36,316.55,406.38,19.7,62.32,4.5,0
7.88,229.24,217.34,7.9,315.19,368.77,11.64,49.8,4.63,0
6.17,238.3,248.28,7.72,269.49,482.67,22.09,79.17,4.44,0
7.23,177.57,178.65,5.82,343.59,367.69,19.91,59.3,5.62,0
7.08,235.0,39.01,6.94,286.77,553.49,19.42,84.85,4.07,0
8.69,184.77,132.84,6.52,348.55,560.97,13.98,71.73,2.9,0
7.08,194.81,329.81,9.55,333.78,286.79,10.42,71.91,3.23,0
4.8,190.32,212.8,6.19,326.79,357.44,11.71,63.86,4.04,0
9.32,199.33,142.94,7.78,366.05,338.44,15.22,63.39,4.13,0
7.58,180.75,119.89,4.98,328.18,617.88,13.56,39.22,4.46,0
5.35,232.67,117.98,7.82,312.99,371.91,11.98,65.8,3.31,0
5.49,179.21,201.62,5.21,305.26,510.61,12.59,58.86,4.22,0
7.08,206.58,407.11,8.81,320.45,468.05,14.52,71.45,5.49,0
8.32,221.27,161.23,9.48,348.18,501.67,22.16,75.36,2.76,0
8.55,216.42,289.09,6.94,295.22,510.9,16.2,79.86,4.05,0
6.01,218.84,215.74,9.3,321.17,444.28,14.74,62.44,3.46,0
5.74,173.85,283.92,7.02,355.46,336.06,16.9,65.45,3.17,0
5.22,164.79,270.08,6.59,333.78,422.22,14.07,73.92,4.38,0
7.08,240.43,259.6,10.57,333.78,446.74,13.57,80.27,3.36,0
7.46,207.79,105.13,8.92,333.78,442.37,18.73,43.9,2.94,0
11.03,228.32,131.24,7.52,319.35,376.23,8.03,48.53,4.18,0
6.73,242.16,179.76,9.81,322.24,440.86,13.57,62.18,4.0,0
4.15,174.93,414.9,5.57,333.78,425.25,12.53,86.68,3.5,0
7.16,171.82,289.55,5.82,357.33,530.53,18.12,79.09,3.25,0
7.08,235.42,139.27,8.55,333.78,446.42,14.13,51.71,3.66,0
6.21,169.32,226.11,4.88,327.38,549.28,17.02,51.51,3.89,0
7.08,178.78,104.91,7.53,354.06,367.76,14.67,57.4,4.13,0
9.61,231.34,45.45,6.58,300.92,328.9,11.79,78.57,3.04,0
5.38,153.71,568.68,7.89,333.78,493.89,15.12,57.71,4.17,0
8.7,166.45,277.52,5.35,372.26,393.56,13.75,75.02,4.18,0
7.75,198.84,189.4,7.38,316.82,368.4,9.98,65.25,3.14,0
7.12,216.12,200.68,9.61,349.08,331.97,17.54,84.03,4.21,0
8.31,212.7,409.36,7.7,301.25,365.43,12.97,70.49,4.78,0
5.52,157.14,262.2,6.34,379.79,475.34,16.9,51.11,4.03,0
10.2,190.8,89.19,4.9,306.5,331.38,18.53,68.55,3.96,0
5.37,190.94,326.19,8.1,351.36,435.67,11.98,107.9,2.0,0
8.94,147.92,105.62,3.69,371.18,480.32,16.98,61.16,2.83,0
8.12,207.51,264.89,8.54,318.06,431.63,10.08,63.98,4.72,0
7.18,201.08,252.34,5.22,283.74,384.01,12.43,23.14,3.67,0
5.5,230.31,139.03,9.62,352.08,442.17,14.74,66.4,5.85,0
7.08,256.67,89.05,9.71,293.11,325.0,16.85,72.69,3.37,0
5.32,204.2,223.91,8.05,315.03,399.12,13.97,83.16,2.93,0
6.37,235.34,344.57,9.17,295.35,357.42,9.21,59.28,2.28,0
6.73,197.56,274.3,6.04,303.94,397.68,19.39,54.51,3.18,0
6.88,210.5,142.98,7.24,316.75,570.42,15.96,70.62,4.1,0
8.01,225.16,203.76,7.84,308.59,382.01,12.67,78.77,4.44,0
8.27,204.23,241.97,8.45,332.89,500.68,15.16,71.02,5.14,0
8.75,148.39,221.75,5.46,369.37,407.38,15.89,72.16,4.76,0
8.15,202.32,256.21,7.65,367.22,597.87,11.8,72.38,3.7,0
9.05,222.18,228.29,7.61,293.06,558.75,15.36,44.56,4.21,0
8.92,207.52,132.92,8.56,357.94,468.54,15.69,107.28,4.08,0
5.96,182.11,239.26,6.19,364.98,567.53,7.79,58.17,4.92,0
7.08,205.44,201.14,7.25,317.28,558.95,23.95,68.24,3.65,0
8.18,166.64,179.45,4.04,331.95,363.24,12.54,56.31,4.6,0
7.64,238.94,181.36,11.09,351.56,514.96,8.64,55.6,3.33,0
7.78,193.08,157.04,7.88,324.34,301.75,13.38,89.05,3.31,0
7.62,196.61,270.8,7.38,345.18,329.02,8.55,60.14,2.39,0
6.66,218.77,164.77,7.33,299.85,412.31,17.19,41.04,4.5,0
7.08,182.16,306.47,6.33,294.97,404.12,14.71,106.37,3.86,0
8.82,208.33,267.81,7.22,329.12,430.41,7.15,88.41,2.88,0
7.77,173.19,137.36,6.98,359.81,356.0,11.52,39.55,3.21,0
6.23,169.74,295.34,5.57,333.78,380.11,17.6,75.52,2.77,0
7.08,223.72,158.94,8.29,303.85,360.47,15.23,48.2,4.16,0
8.57,160.22,236.83,4.29,360.29,490.51,9.03,67.48,2.8,0
6.99,216.67,230.27,9.8,382.15,369.47,18.97,59.65,4.4,0
3.34,156.48,553.35,8.53,371.15,485.63,16.98,69.62,2.58,0
7.08,198.65,200.63,9.54,344.62,412.98,9.77,43.14,4.57,0
7.08,192.25,217.63,7.26,331.65,397.26,18.26,45.98,4.34,1
7.77,216.75,223.16,7.95,385.04,288.07,14.14,68.86,3.89,1
7.08,172.73,288.94,4.25,244.29,559.63,21.34,51.27,2.96,1
7.2,168.45,228.26,6.28,271.89,437.37,16.41,64.51,6.39,1
6.15,240.89,63.43,9.61,421.34,354.39,12.34,83.24,3.55,1
7.08,225.96,96.61,8.83,397.92,315.75,16.72,17.0,3.96,1
6.77,203.75,211.63,5.23,251.06,334.91,13.21,79.86,3.3,1
8.04,148.42,484.1,4.76,268.21,392.9,12.47,66.4,2.51,1
8.18,210.45,186.26,7.27,333.78,455.93,14.25,85.93,3.33,1
6.74,204.08,202.16,6.13,304.53,544.34,12.01,72.61,4.87,1
7.6,214.68,114.6,11.0,398.92,321.07,12.01,58.1,3.58,1
8.55,177.85,233.49,7.65,352.82,413.32,12.36,108.85,3.51,1
5.43,231.35,149.71,9.18,409.99,448.86,10.84,65.55,3.87,1
7.71,194.74,273.37,7.63,322.07,347.83,10.64,63.72,3.18,1
8.15,168.1,213.61,6.2,333.78,419.17,12.3,59.89,2.46,1
7.08,190.22,230.95,6.48,298.36,414.89,13.46,50.9,2.98,1
7.85,193.78,137.7,9.01,343.62,510.31,13.77,99.18,3.67,1
7.16,197.99,270.25,6.73,359.71,448.46,12.51,49.3,2.96,1
5.69,240.71,79.99,8.12,333.78,477.05,15.46,68.9,3.87,1
6.71,199.29,174.35,6.81,333.78,454.73,14.59,81.38,3.82,1
4.78,232.0,139.78,9.42,389.22,526.07,17.21,73.94,3.22,1
7.08,200.32,199.47,7.38,337.23,295.76,14.03,29.67,4.39,1
7.08,205.13,175.38,8.03,396.09,318.54,13.86,93.71,3.0,1
8.5,193.91,212.89,7.11,333.78,393.18,13.64,61.13,5.61,1
7.74,218.24,228.25,8.7,363.99,521.02,15.31,73.72,3.74,1
4.19,208.37,218.1,5.85,327.47,264.51,11.24,46.68,4.59,1
7.08,142.15,451.42,6.03,240.2,369.28,20.61,70.17,4.6,1
7.81,179.8,170.38,6.38,348.07,590.06,12.09,81.59,4.17,1
5.9,187.15,371.18,4.6,253.16,531.17,11.41,77.29,3.66,1
7.27,155.16,311.61,3.18,244.8,506.01,17.39,73.12,3.79,1
7.08,213.04,120.37,9.79,349.17,284.02,12.42,74.67,3.9,1
9.49,167.89,400.32,8.35,333.78,354.79,14.17,102.57,4.3,1
7.46,183.46,147.33,7.48,335.67,482.64,8.96,82.58,4.5,1
7.99,230.18,170.77,9.6,333.78,522.89,14.45,68.64,4.34,1
7.75,212.27,216.71,8.46,361.38,457.01,21.43,43.19,3.68,1
8.28,163.36,220.14,5.74,307.67,351.63,20.06,78.5,4.72,1
6.88,163.59,445.87,2.74,219.15,554.05,16.52,67.53,5.69,1
6.8,239.06,79.86,10.37,419.88,373.23,18.83,43.44,3.82,1
8.17,144.9,361.86,4.55,297.96,605.46,20.22,66.4,3.41,1
7.08,214.66,196.92,5.95,326.18,385.83,15.56,77.83,3.26,1
4.74,203.28,286.99,5.27,323.68,508.82,14.06,65.16,5.0,1
5.95,226.94,119.31,9.68,333.78,350.97,13.61,70.57,3.97,1
6.58,198.41,223.89,7.32,369.1,408.2,6.06,105.4,3.69,1
8.78,157.35,221.13,7.93,304.81,480.72,15.69,82.93,4.39,1
6.85,167.99,405.88,3.37,265.43,300.41,16.01,72.36,3.08,1
8.76,185.42,310.41,8.54,333.78,408.1,18.24,72.3,3.81,1
7.08,213.0,216.87,6.9,333.78,383.75,11.79,57.35,3.24,1
7.08,178.15,343.84,6.43,311.53,570.38,17.59,68.99,4.01,1
8.07,191.82,171.06,7.9,333.48,432.9,13.34,54.22,4.85,1
5.08,185.09,181.26,4.11,275.06,528.16,11.33,80.34,3.63,1
7.44,203.07,254.89,8.18,413.56,405.42,13.28,74.41,2.57,1
9.43,158.39,204.75,5.86,285.4,476.84,14.39,73.16,4.2,1
5.91,223.14,134.64,9.13,378.11,337.86,13.53,42.84,2.92,1
5.8,193.2,194.52,4.15,255.98,365.48,14.92,8.58,2.18,1
7.62,182.69,337.44,6.23,369.55,327.23,14.07,82.78,3.42,1
9.01,148.61,350.22,5.59,333.78,387.4,11.86,49.48,3.91,1
5.42,205.27,185.43,5.49,306.7,382.08,10.5,67.49,2.91,1
9.78,155.94,233.36,7.67,333.78,356.54,10.82,75.33,4.14,1
5.2,232.88,178.18,7.3,333.78,404.0,12.87,55.5,3.44,1
4.87,224.71,169.6,7.08,323.04,354.39,15.69,79.96,3.92,1
7.79,164.96,255.07,7.87,358.26,398.46,15.3,66.4,4.22,1
7.08,259.14,28.08,10.09,392.83,354.41,13.9,63.86,4.08,1
7.06,187.95,266.09,8.56,405.4,462.31,18.43,41.29,3.61,1
7.89,180.16,321.61,7.77,360.28,344.55,11.25,60.29,3.21,1
7.54,221.79,148.3,6.7,366.41,583.44,17.73,59.69,4.21,1
7.2,207.83,118.89,8.02,333.78,369.04,10.37,62.04,5.7,1
7.08,188.61,277.16,5.61,275.18,520.59,12.81,66.4,4.4,1
8.72,151.62,283.02,3.65,248.09,468.37,15.15,79.54,3.27,1
8.35,134.75,336.62,4.44,333.78,397.11,14.42,55.59,3.94,1
6.28,222.69,185.26,8.98,395.26,517.15,15.87,55.38,5.03,1
7.08,195.55,284.15,7.49,318.52,494.4,15.02,47.14,4.05,1
9.31,163.93,394.99,6.91,325.87,345.66,12.71,62.47,4.49,1
4.92,208.41,159.9,5.65,349.66,404.41,11.4,84.53,3.33,1
6.14,147.47,348.65,3.68,285.46,475.45,20.94,54.2,5.37,1
5.74,208.07,194.58,6.69,333.78,362.06,15.6,82.32,3.53,1
6.62,201.78,170.63,8.35,360.61,491.72,10.35,60.01,3.88,1
7.62,170.43,362.67,6.04,301.22,404.5,12.5,79.95,4.76,1
7.86,182.04,345.92,6.19,287.22,285.23,14.37,74.89,3.5,1
7.39,205.99,132.16,7.74,333.78,537.14,16.05,79.36,4.43,1
7.08,176.78,247.93,6.39,312.36,377.07,10.07,50.12,4.64,1
5.58,223.62,132.89,7.7,368.9,375.28,20.22,104.58,4.04,1
4.3,227.01,73.23,7.49,326.7,412.9,12.91,68.75,2.01,1
7.31,185.82,219.9,8.44,333.78,425.53,14.95,89.77,3.58,1
6.42,185.31,333.6,5.57,374.71,509.82,17.85,103.32,4.05,1
7.08,181.3,236.15,5.45,282.31,510.94,13.98,52.3,3.89,1
10.77,163.1,380.37,7.6,350.0,477.72,13.53,66.4,3.23,1
5.04,190.16,292.59,4.99,300.48,332.36,11.06,116.16,3.53,1
7.08,204.86,245.9,7.77,333.78,440.94,12.57,118.36,4.32,1
10.42,167.42,345.36,6.35,344.31,491.52,19.36,45.1,4.21,1
8.42,191.87,293.14,5.61,306.33,546.79,13.13,96.13,3.44,1
7.81,200.71,156.95,7.22,333.78,519.86,13.26,79.34,2.47,1
7.56,156.46,328.33,3.31,257.28,277.23,17.86,62.55,3.29,1
11.24,169.4,435.34,5.89,341.03,336.45,16.09,59.49,2.93,1
5.73,197.19,129.33,5.68,280.93,445.07,14.18,68.12,4.41,1
10.49,185.09,264.53,9.55,392.35,455.74,15.98,47.4,3.8,1
3.79,218.49,169.29,6.11,333.78,410.69,14.09,60.32,4.62,1
5.72,184.23,193.93,5.3,290.28,502.99,19.64,68.24,3.43,1
7.08,182.32,304.3,6.15,350.45,479.96,16.58,58.68,4.54,1
5.47,218.51,146.08,5.62,333.78,472.8,10.58,73.11,4.96,1
7.08,178.23,378.61,3.91,333.78,535.09,17.55,64.07,5.11,1
6.77,181.82,268.8,5.22,284.75,475.55,14.67,60.52,4.91,1
6.04,188.66,248.57,4.37,295.9,355.01,7.62,79.94,4.75,1
7.08,212.48,235.72,4.98,300.73,449.95,7.09,66.03,3.09,1
6.32,210.31,116.82,6.97,311.78,375.96,11.97,62.96,4.55,1
9.19,165.64,180.74,8.11,333.78,534.7,8.19,59.66,4.19,1
8.68,161.12,407.99,5.38,305.53,499.28,15.97,75.91,3.88,1
7.96,224.32,115.51,9.49,367.47,451.81,14.91,79.69,2.29,1
5.48,196.79,193.78,5.0,295.59,348.4,18.71,76.41,4.44,1
7.19,177.49,345.11,4.98,295.83,477.99,16.78,62.76,4.28,1
5.47,213.16,182.95,6.04,333.78,317.95,13.79,49.64,2.96,1
7.08,195.02,173.82,7.04,329.13,383.79,11.15,90.89,3.84,1
